rowid,variable,value,x,y
eif3ja,s4d.mecpM1,0.7877122573554347,16,1129
hpxa,s4d.mecpM1,0.33762741648469424,16,1352
rpusd4,s4d.mecpM1,0.8879488900242803,16,488
smarca1,s4d.mecpM1,-0.483013160012743,16,1500
hnmt,s4d.mecpM1,0.15419739437955687,16,770
nop56,s4d.mecpM1,0.3099751822199804,16,567
tcea2,s4d.mecpM1,0.18673054293978883,16,1944
rhoub,s4d.mecpM1,-0.2648274789286867,16,73
opcml,s4d.mecpM1,0.39297321041368477,16,1809
ndufv2,s4d.mecpM1,-0.251674749258334,16,2258
oxct1a,s4d.mecpM1,0.3983816388938258,16,1912
gclc,s4d.mecpM1,0.2631572267612504,16,849
pdk1,s4d.mecpM1,0.584004479761522,16,345
atp1b1a,s4d.mecpM1,0.521668891188742,16,882
jag1b,s4d.mecpM1,-0.5790785294470908,16,2158
dhcr24,s4d.mecpM1,0.5465583418055767,16,754
sh3gl3a,s4d.mecpM1,0.2797349179321383,16,221
slc8a1a,s4d.mecpM1,-0.13711944315590416,16,1454
arhgef39,s4d.mecpM1,-0.382570631300437,16,1497
cyp2ae1,s4d.mecpM1,0.11295446064551165,16,103
ikzf1,s4d.mecpM1,0.6001819977915759,16,2263
pgm1,s4d.mecpM1,0.5121064425782158,16,1968
hyou1,s4d.mecpM1,0.7893818329186076,16,489
si.dkey.42i9.6,s4d.mecpM1,0.23606602450632333,16,NA
gtse1,s4d.mecpM1,0.25419910162640297,16,1492
srsf6a,s4d.mecpM1,0.43850252691335123,16,209
slc25a55b,s4d.mecpM1,-0.3841751215900829,16,2392
eno1b,s4d.mecpM1,0.09673033657395251,16,1709
aldh3b1,s4d.mecpM1,0.8463418302678581,16,935
sept5a,s4d.mecpM1,-0.2246027707534901,16,2018
ttc14,s4d.mecpM1,-0.0065269858419409535,16,1940
slc31a1,s4d.mecpM1,0.06350531264193857,16,38
anxa13,s4d.mecpM1,0.34802950024373813,16,183
ern1,s4d.mecpM1,-0.2840876494253617,16,2345
rrm1,s4d.mecpM1,-0.16995717048320666,16,1490
mecp2,s4d.mecpM1,-1.2926667321611163,16,1433
sept8b,s4d.mecpM1,1.6136087840939344,16,726
camk2d2,s4d.mecpM1,1.024949874419525,16,2220
pgghg,s4d.mecpM1,-0.629073239361623,16,2385
npm1a,s4d.mecpM1,0.16037167483677453,16,1006
rab11al,s4d.mecpM1,-0.32259002229807904,16,666
optc,s4d.mecpM1,0.136705554975998,16,1158
ddx4,s4d.mecpM1,0.3770973105224472,16,701
galnt6,s4d.mecpM1,-0.09634143998843811,16,523
selenoo2,s4d.mecpM1,-1.3457974858733528,16,1612
ca2,s4d.mecpM1,0.6916611433326076,16,861
trpv6,s4d.mecpM1,0.2979966813953932,16,874
itpr1a,s4d.mecpM1,-0.6767367764415552,16,2289
znf710a,s4d.mecpM1,0.0898335382170753,16,2186
esco2,s4d.mecpM1,-0.16282264042411712,16,1832
mfsd6l,s4d.mecpM1,0.25909416500425436,16,302
cryba1l2,s4d.mecpM1,0.2831624640479339,16,1678
htra1b,s4d.mecpM1,0.6440660935965902,16,866
panx1b,s4d.mecpM1,1.0445021327486472,16,339
kif23,s4d.mecpM1,-0.838733471471425,16,1852
triap1,s4d.mecpM1,0.9260557507261734,16,485
jagn1b,s4d.mecpM1,0.27702948253710324,16,814
c4,s4d.mecpM1,-0.1821603859503297,16,982
gja8b,s4d.mecpM1,-0.33814818345308784,16,1761
dnajb11,s4d.mecpM1,0.37212534261251745,16,166
dnase1l4.1,s4d.mecpM1,0.8916356241440693,16,203
gorasp2,s4d.mecpM1,0.47523183560557697,16,210
mknk2b,s4d.mecpM1,0.11979855618095545,16,1983
pgd,s4d.mecpM1,0.6315919666362234,16,867
fosl1a,s4d.mecpM1,0.2500236836157502,16,975
racgap1,s4d.mecpM1,-0.6855555944333344,16,1514
klf3,s4d.mecpM1,0.7897827765174531,16,167
psen2,s4d.mecpM1,0.4947492654475203,16,327
fstl1a,s4d.mecpM1,0.5937297434666634,16,196
ada2b,s4d.mecpM1,0.8610681175974997,16,1720
ca15a,s4d.mecpM1,0.2640466427231874,16,922
nmd3,s4d.mecpM1,-0.09689765327536179,16,1013
hsd17b12a,s4d.mecpM1,0.20100570353488428,16,639
apoa2,s4d.mecpM1,-0.4869949596170479,16,2257
dcbld1,s4d.mecpM1,0.11664990986762107,16,902
abcc9,s4d.mecpM1,-0.17606050654892744,16,2178
zic5,s4d.mecpM1,-0.25559044129351305,16,1816
cryz,s4d.mecpM1,-0.5540619256192445,16,2087
rtn2a,s4d.mecpM1,-0.5777456622409358,16,1291
SBNO2,s4d.mecpM1,-0.05795091882407489,16,968
clca1,s4d.mecpM1,0.9310919933303401,16,761
asns,s4d.mecpM1,-0.2198669981311231,16,563
agt,s4d.mecpM1,-0.3613819160258504,16,2251
farp2,s4d.mecpM1,-0.1615832674836235,16,1986
dkc1,s4d.mecpM1,0.1490489217843895,16,1008
setd3,s4d.mecpM1,-0.6580419563525276,16,1755
gtf2h2,s4d.mecpM1,1.0924846693834789,16,549
zgc.154046,s4d.mecpM1,-0.38503895492554596,16,NA
mroh1,s4d.mecpM1,-0.05158949444243237,16,1938
haus4,s4d.mecpM1,-0.5008890343699607,16,1538
ckmt1,s4d.mecpM1,0.5726647114588468,16,2049
mgme1,s4d.mecpM1,-0.1414162851580013,16,1715
p2rx1,s4d.mecpM1,0.1729501470550584,16,879
trpa1a,s4d.mecpM1,0.02810354341624265,16,1273
tfa,s4d.mecpM1,0.05774443548149718,16,2271
fam102ab,s4d.mecpM1,0.06888929848322219,16,224
dnajb9b,s4d.mecpM1,1.1031667826555556,16,702
si.dkey.94f20.4,s4d.mecpM1,-0.8860800584440284,16,NA
lin28a,s4d.mecpM1,-0.9683748188362383,16,985
ywhae2,s4d.mecpM1,0.08440979809016075,16,50
zgc.152670,s4d.mecpM1,-0.2762883113280211,16,NA
emc8,s4d.mecpM1,-0.22319946034412522,16,112
myofl,s4d.mecpM1,-1.4412420098844092,16,1301
slc3a1,s4d.mecpM1,0.6616241926571329,16,740
plxnb1b,s4d.mecpM1,-1.3213501181696243,16,2100
gdpd1,s4d.mecpM1,0.15020555513491107,16,41
opn1sw2,s4d.mecpM1,0.513845283635106,16,1708
f11r.1,s4d.mecpM1,-0.015393606927935143,16,791
epha2a,s4d.mecpM1,-0.15147077680666687,16,875
cel.1,s4d.mecpM1,1.0621957153483126,16,1331
mccc2,s4d.mecpM1,0.26331784086060894,16,1963
rpp40,s4d.mecpM1,0.7935127517472881,16,997
alg6,s4d.mecpM1,0.14763931998217503,16,643
krt4,s4d.mecpM1,-0.5833884191594987,16,1552
gmppb,s4d.mecpM1,0.5655537314318501,16,835
sephs2,s4d.mecpM1,-0.03932115855377914,16,205
utp4,s4d.mecpM1,-0.20724323921396481,16,1012
dnajc5gb,s4d.mecpM1,-0.11105912825360845,16,69
smc2,s4d.mecpM1,-0.761459165209269,16,1863
srrt,s4d.mecpM1,0.4203039148272378,16,208
stard3,s4d.mecpM1,-0.37788229788639294,16,410
dnajc3b,s4d.mecpM1,0.8759876837012035,16,296
pdss1,s4d.mecpM1,0.6259154748506476,16,998
vrk1,s4d.mecpM1,-0.20976336804483053,16,1533
rbp1.1,s4d.mecpM1,0.479149630132867,16,719
depdc1a,s4d.mecpM1,-0.46491677579392604,16,1501
get3,s4d.mecpM1,-0.02895808609683879,16,819
mthfd1a,s4d.mecpM1,-0.5946199289367027,16,1819
olfm1a,s4d.mecpM1,0.412817257788143,16,1928
cyba,s4d.mecpM1,-0.07669762107600524,16,1
ggt1b,s4d.mecpM1,0.6949140626304435,16,862
aldh7a1,s4d.mecpM1,0.4213669092711742,16,1964
heg1,s4d.mecpM1,-0.4235644679376949,16,1959
pdia4,s4d.mecpM1,0.6542949878670027,16,138
tnfrsf1a,s4d.mecpM1,-0.01021084571326114,16,886
cers4b,s4d.mecpM1,0.513105168339782,16,2119
slc6a19a.1,s4d.mecpM1,-0.4609707142203,16,1236
rad54l,s4d.mecpM1,-0.8589962418171022,16,1478
acot7,s4d.mecpM1,-0.16472737320806505,16,1277
phf2,s4d.mecpM1,0.012382552457695125,16,2036
kdm4aa,s4d.mecpM1,-0.1660423767875384,16,1977
apobec2a,s4d.mecpM1,-0.10758461459971033,16,2155
zfand5a,s4d.mecpM1,0.5457871172406721,16,276
pes,s4d.mecpM1,0.3602100462541958,16,1089
