NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	28		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	23		Rejected!	
GOBP_CHONDROCYTE_DIFFERENTIATION	114		Rejected!	
GOBP_CHONDROCYTE_DEVELOPMENT	32		Rejected!	
GOBP_EPITHELIAL_CELL_DEVELOPMENT	218		Rejected!	
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	116		Rejected!	
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	50		Rejected!	
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	73		Rejected!	
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	37		Rejected!	
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	11		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	22		Rejected!	
GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION	9		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18		Rejected!	
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	23		Rejected!	
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	12		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	86		Rejected!	
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	21		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	60		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	21		Rejected!	
GOBP_STORE_OPERATED_CALCIUM_ENTRY	22		Rejected!	
